Evaluation results:
(gnn) Accuracies of the localization task: Top 1: 0.2817, Top 3: 0.5248, Top 5: 0.6510
(gnn) Accuracies of the localization task per bug type: 
LoopStatementRewriteScout: 0.2817  (431/1530)
(gnn) Accuracies of the localization task per number of reference nodes: 
21: 0.1200  (3/25)
22: 0.0938  (3/32)
23: 0.0000  (0/20)
24: 0.0385  (1/26)
25: 0.0000  (0/23)
26: 0.0385  (1/26)
27: 0.0417  (1/24)
28: 0.0000  (0/16)
29: 0.0455  (1/22)
30: 0.0000  (0/10)
31: 0.1000  (2/20)
32: 0.0000  (0/18)
33: 0.0000  (0/17)
34: 0.0769  (2/26)
35: 0.0000  (0/18)
36: 0.0000  (0/18)
37: 0.0667  (1/15)
38: 0.0000  (0/12)
39: 0.1250  (2/16)
40: 0.0357  (1/28)
41: 0.0000  (0/11)
42: 0.0000  (0/6)
43: 0.0714  (1/14)
44: 0.0000  (0/14)
45: 0.0000  (0/22)
46: 0.0000  (0/10)
47: 0.0000  (0/14)
48: 0.1250  (1/8)
49: 0.0000  (0/14)
50: 0.0000  (0/14)
51: 0.0000  (0/3)
52: 0.0000  (0/21)
53: 0.0000  (0/11)
54: 0.0000  (0/21)
55: 0.0000  (0/12)
56: 0.1000  (1/10)
57: 0.0000  (0/8)
58: 0.0000  (0/7)
59: 0.0000  (0/11)
60: 0.0000  (0/14)
61: 0.0000  (0/4)
62: 0.0000  (0/21)
63: 0.0000  (0/6)
64: 0.2000  (1/5)
65: 0.0000  (0/8)
66: 0.0000  (0/4)
67: 0.0000  (0/7)
68: 0.1111  (1/9)
69: 0.0000  (0/12)
70: 0.0000  (0/5)
71: 0.0000  (0/5)
72: 0.0000  (0/21)
73: 0.0000  (0/10)
74: 0.0000  (0/10)
75: 0.0000  (0/12)
76: 0.0000  (0/4)
77: 0.0000  (0/3)
78: 0.0000  (0/1)
79: 0.0000  (0/12)
80: 0.0000  (0/2)
81: 0.1429  (1/7)
82: 0.0000  (0/6)
83: 0.0000  (0/1)
84: 0.0000  (0/6)
85: 0.0000  (0/4)
87: 0.0000  (0/11)
88: 0.0000  (0/10)
89: 0.0000  (0/2)
90: 0.0000  (0/4)
91: 0.0000  (0/3)
92: 0.0000  (0/2)
93: 0.0000  (0/10)
94: 0.0000  (0/9)
95: 0.0000  (0/3)
96: 0.0000  (0/11)
97: 0.0000  (0/2)
98: 0.0000  (0/6)
99: 0.0000  (0/9)
100: 0.0000  (0/4)
101: 0.0000  (0/2)
102: 0.1667  (1/6)
103: 0.0000  (0/5)
104: 0.0000  (0/13)
105: 0.0000  (0/5)
106: 0.5000  (1/2)
107: 0.0000  (0/2)
108: 0.0000  (0/5)
109: 0.0000  (0/7)
111: 0.0000  (0/2)
112: 0.0000  (0/1)
113: 0.0000  (0/9)
114: 0.0000  (0/7)
115: 0.0000  (0/9)
117: 0.0000  (0/3)
118: 0.0000  (0/6)
120: 0.0000  (0/5)
121: 0.0000  (0/2)
122: 0.0000  (0/6)
123: 0.0000  (0/1)
125: 0.0000  (0/4)
126: 0.0000  (0/4)
127: 0.0000  (0/3)
129: 0.0000  (0/4)
130: 0.1111  (1/9)
131: 0.0000  (0/2)
132: 0.0000  (0/4)
133: 0.0000  (0/1)
138: 0.0000  (0/4)
142: 0.0000  (0/1)
143: 0.0000  (0/4)
144: 0.0000  (0/4)
145: 0.0000  (0/4)
146: 0.0000  (0/5)
149: 0.0000  (0/12)
152: 0.0000  (0/4)
153: 0.0000  (0/4)
154: 0.0000  (0/1)
155: 0.0000  (0/5)
156: 0.0000  (0/1)
157: 0.0000  (0/1)
162: 0.0000  (0/3)
163: 0.0000  (0/6)
165: 0.0000  (0/2)
166: 0.0000  (0/3)
171: 0.0000  (0/2)
172: 0.0000  (0/1)
175: 0.0000  (0/1)
177: 0.0000  (0/4)
180: 0.2500  (1/4)
181: 0.0000  (0/5)
185: 0.0000  (0/1)
186: 0.0000  (0/1)
187: 0.0000  (0/1)
189: 0.0000  (0/1)
198: 0.0000  (0/2)
199: 0.0000  (0/1)
203: 0.0000  (0/2)
204: 0.0000  (0/1)
206: 0.0000  (0/1)
208: 0.0000  (0/6)
211: 0.0000  (0/4)
219: 0.0000  (0/2)
221: 0.0000  (0/4)
222: 0.0000  (0/3)
227: 0.0000  (0/1)
228: 0.0000  (0/2)
232: 0.0000  (0/2)
237: 0.0000  (0/4)
241: 0.0000  (0/1)
242: 0.0000  (0/4)
